query_id,corpus_id
q00001,MSFT20230216
q00001,MSFT20230153
q00001,MSFT20230254
q00001,MSFT20230016
q00001,MSFT20230151
q00001,MSFT20230155
q00001,MSFT20231766
q00001,MSFT20230027
q00001,MSFT20230150
q00001,MSFT20230975
q00002,MSFT20231716
q00002,MSFT20230128
q00002,MSFT20230120
q00002,MSFT20230216
q00002,MSFT20230170
q00002,MSFT20231728
q00002,MSFT20230148
q00002,MSFT20231720
q00002,MSFT20230501
q00002,MSFT20230502
q00003,MSFT20230264
q00003,MSFT20230248
q00003,MSFT20230233
q00003,MSFT20230011
q00003,MSFT20230216
q00003,MSFT20230058
q00003,MSFT20230236
q00003,MSFT20230155
q00003,MSFT20230228
q00003,MSFT20231728
q00004,MSFT20230317
q00004,MSFT20230328
q00004,MSFT20230329
q00004,MSFT20230319
q00004,MSFT20230327
q00004,MSFT20230311
q00004,MSFT20230318
q00004,MSFT20230101
q00004,MSFT20230486
q00004,MSFT20230469
q00005,MSFT20230062
q00005,MSFT20230713
q00005,MSFT20230223
q00005,MSFT20230069
q00005,MSFT20230673
q00005,MSFT20230068
q00005,MSFT20230076
q00005,MSFT20230063
q00005,MSFT20231297
q00005,MSFT20230111
q00006,MSFT20230467
q00006,MSFT20231692
q00006,MSFT20230501
q00006,MSFT20230048
q00006,MSFT20231865
q00006,MSFT20231006
q00006,MSFT20231609
q00006,MSFT20230225
q00006,MSFT20230035
q00006,MSFT20230722
q00007,MSFT20230986
q00007,ORCL20231142
q00007,MSFT20231007
q00007,MSFT20231749
q00007,BRK.A20232293
q00007,MSFT20230729
q00007,ORCL20231141
q00007,MSFT20230968
q00007,MSFT20230686
q00007,BRK.A20232309
q00008,MSFT20230508
q00008,MSFT20231529
q00008,ADBE20231119
q00008,V20231038
q00008,ADBE20231120
q00008,MSFT20230974
q00008,MSFT20231797
q00008,ORCL20231142
q00008,MSFT20230971
q00008,MSFT20230979
q00009,ADBE20231907
q00009,ADBE20230243
q00009,ADBE20231621
q00009,ADBE20231704
q00009,ADBE20230963
q00009,ADBE20231649
q00009,ADBE20230004
q00009,ADBE20230961
q00009,ADBE20230268
q00009,ADBE20230017
q00010,ADBE20230451
q00010,ADBE20230726
q00010,ADBE20231565
q00010,ADBE20230725
q00010,ADBE20230729
q00010,ADBE20231571
q00010,ADBE20230727
q00010,ADBE20230728
q00010,ADBE20230454
q00010,ADBE20230453
q00011,ADBE20230727
q00011,ADBE20231488
q00011,ADBE20231490
q00011,ADBE20230725
q00011,ADBE20231616
q00011,ADBE20231575
q00011,ADBE20230761
q00011,ADBE20231487
q00011,ADBE20231572
q00011,ADBE20231513
q00012,ADBE20230283
q00012,ADBE20231730
