query_id,corpus_id
qd4982518,dd4c4f7aa
qd4982518,dd4bb016e
qd4982518,dd4c4fb38
qd4982518,dd4bf84f0
qd4982518,dd4b9f7f6
qd4982518,dd4ba3af4
qd4982518,dd4b89cbc
qd4982518,dd4bb5506
qd4982518,dd4bec0ec
qd4982518,dd4b88920
qd49795a8,dd4befb5c
qd49795a8,dd4979602
qd49795a8,dd4b9e8ce
qd49795a8,dd4c4b0a6
qd49795a8,dd497d504
qd49795a8,dd4c05bc8
qd49795a8,dd4c4cf78
qd49795a8,dd4bd7b9c
qd49795a8,dd4b954d6
qd49795a8,dd4c3cc86
qd496f724,dd4c648e4
qd496f724,dd496f77e
qd496f724,dd4ba9f94
qd496f724,dd4c544d0
qd496f724,dd4bdad7e
qd496f724,dd4988f26
qd496f724,dd4c52612
qd496f724,dd4b94ff4
qd496f724,dd4ba4e36
qd496f724,dd4bfeaee
qd496f102,dd4bde26c
qd496f102,dd496f152
qd496f102,dd4b985b4
qd496f102,dd4bcce18
qd496f102,dd4c2f676
qd496f102,dd4b94608
qd496f102,dd4c5937c
qd496f102,dd4972226
qd496f102,dd4ba111e
qd496f102,dd4bc9f60
qd496f918,dd4bbbab4
qd496f918,dd496f968
qd496f918,dd4bb2f36
qd496f918,dd4ba898c
qd496f918,dd4c00844
qd496f918,dd4c229ee
qd496f918,dd4baf534
qd496f918,dd4c60bae
qd496f918,dd4ba0908
qd496f918,dd4b90774
qd49859fc,dd49816a4
qd49859fc,dd4c109d8
qd49859fc,dd4c3b2b4
qd49859fc,dd4b87c00
qd49859fc,dd4be9d60
qd49859fc,dd4b8ef96
qd49859fc,dd4bb6870
qd49859fc,dd4bb0f24
qd49859fc,dd4c323bc
qd49859fc,dd4c4ca28
qd4981d2a,dd496ed24
qd4981d2a,dd4bdca34
qd4981d2a,dd4bde4e2
qd4981d2a,dd4be5b20
qd4981d2a,dd4c29a96
qd4981d2a,dd4b905bc
qd4981d2a,dd4c20c52
qd4981d2a,dd4c657f8
qd4981d2a,dd4bd52b6
qd4981d2a,dd497f5e8
qd497d4aa,dd4befb5c
qd497d4aa,dd4b9e8ce
qd497d4aa,dd4979602
qd497d4aa,dd4c4b0a6
qd497d4aa,dd497d504
qd497d4aa,dd4c3cc86
qd497d4aa,dd4c05bc8
qd497d4aa,dd4c4cf78
qd497d4aa,dd4979f76
qd497d4aa,dd4b954d6
qd497e0ee,dd497e134
qd497e0ee,dd4c5f498
qd497e0ee,dd4c31dd6
qd497e0ee,dd4be409a
qd497e0ee,dd496fea4
qd497e0ee,dd4c4ae80
qd497e0ee,dd4bb7e1e
qd497e0ee,dd4c001dc
qd497e0ee,dd4c4dfcc
qd497e0ee,dd4970098
qd49850c4,dd497a3f4
