query_id,corpus_id
q00001,MSFT20230014
q00001,MSFT20230015
q00001,MSFT20230216
q00001,MSFT20230254
q00001,MSFT20230016
q00001,MSFT20230331
q00001,MSFT20230236
q00001,MSFT20231766
q00001,MSFT20230155
q00001,MSFT20230046
q00002,MSFT20231716
q00002,MSFT20230128
q00002,MSFT20231152
q00002,MSFT20230566
q00002,MSFT20231953
q00002,MSFT20230120
q00002,MSFT20230170
q00002,MSFT20231728
q00002,MSFT20231743
q00002,MSFT20230541
q00003,MSFT20230264
q00003,MSFT20230236
q00003,MSFT20230233
q00003,MSFT20230025
q00003,MSFT20230016
q00003,MSFT20230248
q00003,MSFT20230155
q00003,MSFT20230010
q00003,MSFT20230469
q00003,MSFT20230170
q00004,MSFT20230469
q00004,MSFT20230010
q00004,MSFT20230092
q00004,MSFT20230095
q00004,MSFT20230486
q00004,MSFT20230025
q00004,MSFT20230319
q00004,MSFT20230317
q00004,MSFT20230311
q00004,MSFT20230331
q00005,MSFT20231297
q00005,MSFT20230076
q00005,MSFT20230062
q00005,MSFT20230083
q00005,MSFT20230012
q00005,MSFT20230348
q00005,MSFT20230068
q00005,MSFT20231152
q00005,MSFT20231953
q00005,MSFT20230254
q00006,MSFT20231953
q00006,MSFT20230467
q00006,MSFT20230722
q00006,MSFT20231335
q00006,MSFT20230048
q00006,MSFT20230486
q00006,MSFT20230294
q00006,MSFT20230469
q00006,MSFT20230723
q00006,MSFT20231781
q00007,MSFT20231529
q00007,BRK.A20232293
q00007,CPNG20231081
q00007,ORCL20231716
q00007,ORCL20231119
q00007,META20231197
q00007,ORCL20231141
q00007,META20231323
q00007,ORCL20231109
q00007,ORCL20231142
q00008,MSFT20231529
q00008,ADBE20231120
q00008,V20231038
q00008,ORCL20231142
q00008,MSFT20230508
q00008,ADBE20231119
q00008,NVDA20231343
q00008,UNH20230812
q00008,MSFT20231953
q00008,TSLA20230850
q00009,ADBE20231907
q00009,ADBE20231813
q00009,ADBE20231155
q00009,ADBE20230283
q00009,JNJ20230028
q00009,ADBE20231062
q00009,ADBE20231011
q00009,ADBE20231609
q00009,ADBE20230986
q00009,ADBE20230963
q00010,ADBE20231572
q00010,ADBE20231571
q00010,ADBE20230728
q00010,ADBE20231573
q00010,ADBE20230726
q00010,ADBE20230725
q00010,ADBE20231565
q00010,ADBE20230453
q00010,ADBE20231566
q00010,ADBE20230451
q00011,ADBE20231518
q00011,ADBE20231681
q00011,ADBE20231490
q00011,ADBE20230819
q00011,ADBE20231571
q00011,ADBE20231575
q00011,ADBE20230907
q00011,ADBE20231572
q00011,ADBE20231011
q00011,ADBE20231513
q00012,ADBE20230283
q00012,ADBE20231864
q00012,ADBE20231813
q00012,ADBE20231828
q00012,ADBE20231730
q00012,ADBE20230497
q00012,ADBE20230004
q00012,ADBE20230238
q00012,ADBE20230961
q00012,ADBE20231615
q00013,ADBE20230954
q00013,ADBE20230181
q00013,ADBE20230283
q00013,ADBE20230819
q00013,ADBE20230907
q00013,ADBE20230856
q00013,ADBE20231494
q00013,ADBE20230435
q00013,ADBE20230961
q00013,ADBE20231656
q00014,ADBE20231515
q00014,ADBE20231530
q00014,ADBE20230550
q00014,ADBE20230907
q00014,ADBE20230569
q00014,ADBE20230954
q00014,ADBE20230819
q00014,ADBE20230856
q00014,ADBE20230435
q00014,ADBE20231571
q00015,CPNG20230991
q00015,CPNG20230532
q00015,CPNG20231516
q00015,CPNG20230992
q00015,CPNG20230063
