query_id,corpus_id
q61676968,d616769d6
q61676968,d61d31046
q61676968,d61dab45e
q61676968,d61d2c15e
q61676968,d61def294
q61676968,d61d2a890
q61676968,d61d89a98
q61676968,d61d71c54
q61676968,d61d96072
q61676968,d61dbaf26
q6165d620,d6165d666
q6165d620,d61ddcefa
q6165d620,d6167fa90
q6165d620,d61d6922a
q6165d620,d61d65756
q6165d620,d61d7c6ae
q6165d620,d61dbcee8
q6165d620,d61d2a624
q6165d620,d61d6f710
q6165d620,d61650b5a
q616523c4,d61668eda
q616523c4,d61e2ce1e
q616523c4,d6169ca1e
q616523c4,d61d89354
q616523c4,d6165241e
q616523c4,d61e97bba
q616523c4,d61cffbcc
q616523c4,d61dc22d0
q616523c4,d61d88670
q616523c4,d61d2de96
q6168676e,d61dd6406
q6168676e,d61d4a7d0
q6168676e,d61ddaf38
q6168676e,d61d34a7a
q6168676e,d61e969ae
q6168676e,d6167676a
q6168676e,d61dd97e6
q6168676e,d61d921ac
q6168676e,d6167f266
q6168676e,d61d140f4
q616abdde,d61d439ee
q616abdde,d61d77f78
q616abdde,d61d48d04
q616abdde,d61d80e70
q616abdde,d61d3d1ac
q616abdde,d61ddc3a6
q616abdde,d61d8df26
q616abdde,d61d04208
q616abdde,d616545fc
q616abdde,d61cf992a
q616a3986,d61650ce0
q616a3986,d6165e9e4
q616a3986,d61e1ee40
q616a3986,d61d45942
q616a3986,d61d4d7d2
q616a3986,d61d134ba
q616a3986,d61d6206a
q616a3986,d6165b23a
q616a3986,d61d51d32
q616a3986,d61d8fee8
q61667c92,d61d8452a
q61667c92,d61dc9a3a
q61667c92,d61660a50
q61667c92,d61d5b1d4
q61667c92,d61651dca
q61667c92,d61dbe1a8
q61667c92,d61d9f47e
q61667c92,d61da4bae
q61667c92,d61d8df26
q61667c92,d61d48d04
q61671ce2,d61cf8a02
q61671ce2,d61d87eb4
q61671ce2,d6167c228
q61671ce2,d61667648
q61671ce2,d61d5dccc
q61671ce2,d6164f9bc
q61671ce2,d61dc93b4
q61671ce2,d61dd23f6
q61671ce2,d61d30042
q61671ce2,d61dca6c4
q616a1438,d6167f63a
q616a1438,d61d2b844
q616a1438,d61dfa572
q616a1438,d61dbec5c
q616a1438,d61d8405c
q616a1438,d61d2129a
q616a1438,d61d079d0
q616a1438,d61668516
q616a1438,d61d741a2
q616a1438,d61ddcb30
q6165fe2a,d61657130
q6165fe2a,d61d4ca58
q6165fe2a,d61e2a77c
q6165fe2a,d61d792b0
q6165fe2a,d61d48ffc
q6165fe2a,d61d516fc
q6165fe2a,d616624e0
q6165fe2a,d61d04e56
q6165fe2a,d61d9d53e
q6165fe2a,d61d85088
q6167d60a,d61657130
q6167d60a,d61d56ed6
q6167d60a,d61d95d20
q6167d60a,d61da9ece
q6167d60a,d61d934f8
q6167d60a,d61dbb94e
q6167d60a,d61658b70
q6167d60a,d6167248a
q6167d60a,d61d3cfcc
q6167d60a,d61cf34c6
q61687ba0,d6165aa4c
q61687ba0,d61d55f7c
q61687ba0,d61d712cc
q61687ba0,d61d5a950
q61687ba0,d61d9e4f2
q61687ba0,d61d8d59e
q61687ba0,d61cf2300
q61687ba0,d61e49cc6
q61687ba0,d61d66836
q61687ba0,d61d33e0e
q6167e154,d61d3b794
q6167e154,d61671120
q6167e154,d61cfd642
q6167e154,d61d1ea0e
q6167e154,d61db6b9c
q6167e154,d61d3638e
q6167e154,d61d7a6b0
q6167e154,d61d96478
q6167e154,d61d4b518
q6167e154,d61d6dd48
q61671e90,d61671eea
q61671e90,d61d92274
q61671e90,d61cefdb2
q61671e90,d61d6b214
q61671e90,d61d66836
q61671e90,d61dbca42
q61671e90,d61d61016
q61671e90,d61e43844
q61671e90,d6165f5ec
q61671e90,d61d40708
q61689f9a,d61da2ca0
q61689f9a,d6166fc08
q61689f9a,d6167a112
q61689f9a,d61e291b0
q61689f9a,d61d308da
q61689f9a,d61e2a880
q61689f9a,d61d3cfcc
q61689f9a,d61d7af20
q61689f9a,d61d6fdd2
q61689f9a,d61d41478
q6165cc3e,d61d4c300
q6165cc3e,d61d64676
q6165cc3e,d61d2d068
q6165cc3e,d61d91626
q6165cc3e,d61d84b92
q6165cc3e,d61d46a22
q6165cc3e,d61d575fc
q6165cc3e,d61d7258c
q6165cc3e,d61cf6f72
q6165cc3e,d6166bf90
q61650c9a,d61650ce0
q61650c9a,d61e1ee40
q61650c9a,d6165b23a
q61650c9a,d61d134ba
q61650c9a,d61db9892
q61650c9a,d61d30ede
q61650c9a,d6165e9e4
q61650c9a,d61d043fc
q61650c9a,d61d45942
q61650c9a,d61693b8a
q616652b2,d61d35808
q616652b2,d61d74ff8
q616652b2,d61651dca
q616652b2,d61d562b0
q616652b2,d61d2b63c
q616652b2,d61d3482c
q616652b2,d61d53c40
