interaction_id,question_id,Problem,category,student_id,student_process,concepts_of_the_problem,concepts_lacking_in_student,response
0,140,"cindy has her eye on a sundress but thinks it is too expensive . it goes on sale for 15 % less than the original price . before cindy can buy the dress , however , the store raises the new price by 25 % . if the dress cost $ 51 after it went on sale for 15 % off , what is the difference between the original price and the final price ?",general,1,Original price: $x$ final price: $y$ $$ \begin{aligned} & x=51 \div(1-0.15)=60 \\ & y=51 \times(1+0.25)=63.75 \\ & y-x=63.75-60=3.75 \end{aligned} $$,Discount Problem && Price Calculation,No,1
1,423,an error 4 % in excess is made while measuring the side of a square . the percentage of error in the calculated area of the square is,gain,1,(1+0.04) \times(1+0.04)=1.0816,Ratio Calculation && Area Calculation,No,0
2,3028,"two cars , car 1 and car 2 move towards each other from q and y respectively with respective speeds of 20 m / s and 15 m / s . after meeting each other car 1 reaches y in 10 seconds . in how many seconds does car 2 reach q starting from y ?",physics,1,meet in seconds : $X$ $$ \begin{aligned} & 20 x+15 x=20(10+x) \\ & x=\frac{200}{15}=\frac{40}{3} \\ & \left(20 \times \frac{40}{3}+15 \times \frac{40}{3}\right) \div 15=31.11 \end{aligned} $$,Distance-Time-Speed && Relative Speed,No,1
3,314,"given a bag with 2 red balls and 3 yellow balls , you randomly select one of them , in order . if the second ball you take is yellow , what is the probability that the first one was also yellow ?",probability,1,correct,Probability,No,1
4,386,"m and n are the x and y coordinates , respectively , of a point in the coordinate plane . if the points ( m , n ) and ( m + p , n + 12 ) both lie on the line defined by the equation x = ( y / 4 ) - ( 2 / 5 ) , what is the value of p ?",general,1,12 \div 4=p=3,Graphs of Cartesian Coordinates and Linear Equations,No,1
5,7,6 workers should finish a job in 8 days . after 3 days came 4 workers join them . how many days m do they need to finish the same job ?,physics,1,(8 \times 6-6 \times 3) \div(6+4)=3,Workload-Time-Speed,No,1
6,2868,a goods train runs at the speed of 72 km / hr and crosses a 280 m long platform in 26 sec . what is the length of the goods train ?,physics,1,\begin{aligned} & \pi_2 k_r / h r=20 \mathrm{~m} / \mathrm{s} \\ & 20 \times 26-280=240 \end{aligned},Distance-Time-Speed && Unit Conversion,No,1
7,805,"a is an integer greater than 9 but less than 21 , b is an integer greater than 19 but less than 31 , what is the range of a / b ?",general,1,\begin{aligned} 9 & <a \leq 21 \\ 19 & <b<31 \\ \frac{21}{19} \leq \frac{a}{b} & <\frac{31}{9} \end{aligned},Range of Values,Range of Values,0
8,138,"a cistern can be filled by a tap in 4 hours while it can be emptied by another tap in 6 hours . if both the taps are opened simultaneously , then after how much time will the cistern get filled ?",physics,1,"After $x$ how rs, the cistern get filled. $$ \begin{aligned} & \frac{1}{4}-\frac{1}{6}=\frac{1}{12} \\ & \frac{1}{12} \times x=1 \\ & x=12 \end{aligned} $$",Workload-Time-Speed,No,1
9,2943,"yearly subscription to professional magazines cost a company $ 940.00 . to make a 20 % cut in the magazine budget , how much less must be spent ?",general,1,940 \times 0.8=752,Ratio Calculation,No,1
